Actimel. mleko jogurtowe, 88 kcal, 2.7 g, 1.5 g, 16.0 g
Wieprzowina. karkówka, 267 kcal, 16.1 g, 22.8 g, 0.0 g
Wieprzowina. łopatka, 257 kcal, 16.0 g, 21.7 g, 0.0 g
Wieprzowina. podgardle, 630 kcal, 7.4 g, 67.8 g, 0.0 g
Wieprzowina. schab surowy, 174 kcal, 21.0 g, 10.0 g, 0.0 g
Wieprzowina. szynka surowa, 261 kcal, 18.0 g, 21.3 g, 0.0 g
Wieprzowina. Zeberka, 321 kcal, 15.2 g, 29.3 g, 0.0 g
Wino białe półsłodkie, 92 kcal, 0.0 g, 0.0 g, 4.4 g
Wino białe półwytrawne, 78 kcal, 0.0 g, 0.0 g, 3.7 g
Wino białe wytrawne, 73 kcal, 0.0 g, 0.0 g, 2.4 g
Wino czerwone półsłodkie, 96 kcal, 0.0 g, 0.0 g, 5.5 g
Wino czerwone słodkie, 106 kcal, 0.1 g, 0.0 g, 8.2 g
Wino czerwone wytrawne, 75 kcal, 0.0 g, 0.0 g, 3.0 g
Winogrona, 69 kcal, 0.5 g, 0.2 g, 17.6 g
Wiórki kokosowe, 606 kcal, 5.6 g, 63.2 g, 27.0 g
Wiśnie, 47 kcal, 0.9 g, 0.4 g, 10.9 g
Wiśnie. dżem niskosł., 154 kcal, 0.4 g, 0.2 g, 37.8 g
Wiśnie. dżem wysokosł., 252 kcal, 0.4 g, 0.2 g, 61.7 g
Włoszczyzna mrożona, 25 kcal, 1.4 g, 0.3 g, 7.9 g
Wołowina. polędwica, 112 kcal, 20.1 g, 3.5 g, 0.0 g
Wołowina. pieczeń, 117 kcal, 20.9 g, 3.6 g, 0.0 g
Wołowina. rostbef, 152 kcal, 21.5 g, 7.3 g, 0.0 g
Wołowina. rozbratel, 157 kcal, 16.7 g, 10.1 g, 0.0 g
Wołowina. szponder, 217 kcal, 19.3 g, 15.7 g, 0.0 g
Wódka. średnio, 225 kcal, 0.0 g, 0.0 g, 0.0 g
Zarodki pszenne, 377 kcal, 27.5 g, 9.4 g, 45.5 g
Ziemniaki późne, 85 kcal, 1.9 g, 0.1 g, 20.5 g
Ziemniaki puree, 90 kcal, 2.1 g, 1.4 g, 18.4 g
Ziemniaki wczesne, 69 kcal, 1.8 g, 0.1 g, 16.3 g
Ziemniaki Z tłuszczem, 106 kcal, 2.0 g, 3.1 g, 18.7 g
Zupa cebulowa, 44 kcal, 1.4 g, 2.7 g, 4.0 g
Zupa cytrynowa Z ryżem, 58 kcal, 1.4 g, 2.2 g, 8.7 g
Zupa fasolowa, 62 kcal, 4.0 g, 1.8 g, 10.0 g
Zupa grochowa, 66 kcal, 4.4 g, 2.4 g, 8.9 g
Zupa grzybowa zabielana, 26 kcal, 1.3 g, 1.8 g, 1.3 g
Zupa jarzynowa, 43 kcal, 1.7 g, 1.8 g, 6.2 g
Zupa jesienna mrożona, 27 kcal, 1.6 g, 0.2 g, 7.2 g
Zupa kalafiorowa, 28 kcal, 1.6 g, 0.5 g, 4.9 g
Zupa kalafiorowa mrożona, 22 kcal, 2.0 g, 0.2 g, 5.5 g
Zupa neapolitańska, 63 kcal, 2.2 g, 2.6 g, 8.2 g
Zupa ogórkowa, 42 kcal, 1.4 g, 2.0 g, 5.0 g
Zupa owocowa Z jabłek, 42 kcal, 0.1 g, 0.1 g, 11.8 g
Zupa pomidorowa, 11 kcal, 1.0 g, 0.1 g, 2.1 g
Zupa pomidorowa Z makaronem, 35 kcal, 1.5 g, 1.8 g, 3.3 g
Zupa pomidorowa Z ryżem, 37 kcal, 1.5 g, 1.8 g, 3.9 g
Zupa pomidorowa zabielana, 28 kcal, 1.3 g, 1.8 g, 1.9 g
Zupa selerowa, 37 kcal, 1.6 g, 1.8 g, 4.5 g
Zupa selerowa Z grzankami, 51 kcal, 1.8 g, 1.9 g, 8.1 g
Zupa szczawiowa, 40 kcal, 1.6 g, 2.5 g, 2.9 g
Zupa szpinakowa Z ziemniakami, 40 kcal, 2.2 g, 0.9 g, 6.6 g
Zupa Z fasoli szparagowej, 43 kcal, 2.2 g, 0.6 g, 8.9 g
Zupa Z poróW Z makaronem, 58 kcal, 2.4 g, 1.4 g, 10.3 g
Zupa Z Zielonego groszku, 56 kcal, 3.2 g, 1.2 g, 11.2 g
Zupa ziemniaczana, 39 kcal, 1.4 g, 1.1 g, 6.6 g
Żeberka wieprzowe duszone, 210 kcal, 7.9 g, 19.2 g, 2.2 g
Żółtkojaja kurzego, 314 kcal, 15.5 g, 28.2 g, 0.3 g
ŻuraWiny, 51 kcal, 0.4 g, 0.1 g, 19.9 g
Żurek, 124 kcal, 2.2 g, 3.1 g, 23.5 g
